Hydration	C3S	C2S	C3A	C4AF	MK	CSHQ	Portlandite	Gypsum	Calcite	AFt	AFm	MC	HC	Stratlingite	C3AH6	Hydrotalcite	Fe-siliceous hy	aq_gen
0.43616265	21.572502	3.8515629	3.0445564	4.5348793	13.146927	29.261026	5.9007391	0	6.5164805	15.919787	0	9.5992444	0	0	0	9.9174862e-008	4.4720382	30.810257
0.47712125	20.649078	3.8288662	2.9402811	4.4148823	12.924704	30.446817	5.8734375	0	6.3810065	15.920556	0	10.367719	0	0	0	9.9288986e-008	4.6788463	30.203806
0.51851394	19.760809	3.8048515	2.8391583	4.2963904	12.68921	31.628271	5.8033105	0	6.2413281	15.921313	0	11.160083	0	0	0	9.9406864e-008	4.8843625	29.600913
0.55990662	18.919937	3.7797448	2.7412025	4.1795984	12.443065	32.789489	5.6901701	0	6.0985373	15.922031	0	11.97017	0	0	0	9.9527646e-008	5.0880659	29.007988
0.60097289	18.133923	3.7537532	2.6464122	4.0646784	12.18878	33.919048	5.5357569	0	5.9536716	15.922711	0	12.792088	0	0	0	9.9650556e-008	5.2894822	28.429696
0.64246452	17.389198	3.7263991	2.5547717	3.9517803	11.922248	35.037291	5.3378543	0	5.8050442	15.92337	0	13.635394	0	0	0	9.977616e-008	5.4887044	27.857946
0.68394713	16.69426	3.6979609	2.466253	3.8410325	11.646837	36.130168	5.0994781	0	5.6540356	15.923997	0	14.492262	0	0	0	9.9903475e-008	5.6852643	27.298451
0.72509452	16.053322	3.6686908	2.3808176	3.7325432	11.365668	37.187927	4.8250726	0	5.5019163	15.924587	0	15.355484	0	0	0	1.0003155e-007	5.8787327	26.755238
0.76641285	15.457065	3.6382573	2.2984177	3.626401	11.076302	38.223836	4.5138876	0	5.3476699	15.925154	0	16.230814	0	0	0	1.0016087e-007	6.0691683	26.223027
0.80821097	14.900563	3.6064385	2.218998	3.5306141	10.777517	39.249798	4.165163	0	5.1911469	15.925709	0	17.119086	0	0	0	1.0028988e-007	6.2440738	25.700893
0.84941941	14.395973	3.5740901	2.1424969	3.4498589	10.478173	40.240514	3.7910925	0	5.0361774	15.926234	0	17.998571	0	0	0	1.0041524e-007	6.3953634	25.201455
0.8909796	13.929229	3.5405272	2.0688476	3.3805625	10.172759	41.217285	3.3870772	0	4.8803077	15.926744	0	18.883184	0	0	0	1.0053841e-007	6.5291102	24.714366
0.93247376	13.503132	3.5061312	1.9979792	3.320263	9.8656547	42.167541	2.9609094	0	4.725196	15.927235	0	19.763519	0	0	0	1.0066138e-007	6.6488346	24.243605
